start_date,end_date,total_tasks,total_estimated_hours,completion_rate,sprint_successful
2023-01-01,2023-01-07,6,59,0.8019445877676057,1
2023-01-08,2023-01-14,5,95,0.586373416849043,0
2023-01-15,2023-01-21,8,49,0.8494479664572034,0
2023-01-22,2023-01-28,6,96,0.551406859660909,1
2023-01-29,2023-02-04,10,98,0.8566961282981496,1
2023-02-05,2023-02-11,11,47,0.9658879087713959,1
2023-02-12,2023-02-18,13,99,0.846397344593953,0
2023-02-19,2023-02-25,14,55,0.879609186800892,1
2023-02-26,2023-03-04,11,42,0.5122963919987764,1
2023-03-05,2023-03-11,19,94,0.8771519222521391,1
2023-03-12,2023-03-18,7,76,0.5445748270560936,1
2023-03-19,2023-03-25,13,86,0.7144638111017692,0
2023-03-26,2023-04-01,10,90,0.8889953862066474,1
2023-04-02,2023-04-08,5,67,0.9238003564658024,1
2023-04-09,2023-04-15,15,91,0.6593309605427924,1
2023-04-16,2023-04-22,9,44,0.9387389495228288,1
2023-04-23,2023-04-29,12,68,0.7493256828769481,1
2023-04-30,2023-05-06,5,54,0.9546856318305854,1
2023-05-07,2023-05-13,11,44,0.8914798765450321,1
2023-05-14,2023-05-20,18,47,0.5311013621278292,1
2023-05-21,2023-05-27,18,67,0.6795797107013419,1
2023-05-28,2023-06-03,5,84,0.5344296463733844,1
2023-06-04,2023-06-10,16,43,0.7079999840232643,1
2023-06-11,2023-06-17,12,59,0.8988123762926772,0
2023-06-18,2023-06-24,19,84,0.9872623209186879,1
2023-06-25,2023-07-01,6,92,0.9240670885140461,1
2023-07-02,2023-07-08,8,55,0.8426989708456585,0
2023-07-09,2023-07-15,19,77,0.8945084816375932,1
2023-07-16,2023-07-22,13,58,0.795006863489843,1
2023-07-23,2023-07-29,12,59,0.9000381313535393,1
2023-07-30,2023-08-05,15,89,0.8273271887525329,0
2023-08-06,2023-08-12,15,89,0.8080340725623103,1
2023-08-13,2023-08-19,18,73,0.9878858157065853,1
2023-08-20,2023-08-26,17,53,0.8771237328969017,0
2023-08-27,2023-09-02,7,70,0.684480266827651,1
2023-09-03,2023-09-09,16,72,0.5033769008516766,0
2023-09-10,2023-09-16,6,96,0.7533250749947713,1
2023-09-17,2023-09-23,9,86,0.9791956200875821,1
2023-09-24,2023-09-30,15,98,0.5338414098195499,1
2023-10-01,2023-10-07,10,87,0.561580021658781,0
